Sample	Mouse	Group	Exp
10B2_S20	266	AEK	2
11B2_S21	267	WT	2
12B2_S2	268	AE	2
1B2_S16	257	AEK	2
2B2_S1	258	K	2
3B2_S17	259	AE	2
41B1_S19	245	K	1
42B1_S9	246	K	1
43B1_S13	248	AE	1
44B1_S12	249	WT	1
45B1_S8	250	WT	1
46B1_S11	251	AEK	1
47B1_S14	252	AE	1
48B1_S23	253	AEK	1
49B1_S7	254	K	1
4B2_S3	260	AEK	2
50B1_S4	255	AE	1
51B1_S18	256	WT	1
5B2_S5	261	WT	2
6B2_S22	262	K	2
7B2_S6	263	K	2
8B2_S10	264	AE	2
9B2_S15	265	WT	2
